百分之百,2
倍加,2
备至,2
不得了,2
不堪,2
不可开交,2
不亦乐乎,2
不折不扣,2
彻头彻尾,2
充分,2
到头,2
地地道道,2
非常,2
极,2
极度,2
极端,2
极其,2
极为,2
截然,2
尽,2
惊人地,2
绝,2
绝顶,2
绝对,2
绝对化,2
刻骨,2
酷,2
满,2
满贯,2
满心,2
莫大,2
奇,2
入骨,2
甚为,2
十二分,2
十分,2
十足,2
死,2
滔天,2
痛,2
透,2
完全,2
完完全全,2
万,2
万般,2
万分,2
万万,2
无比,2
无度,2
无可估量,2
无以复加,2
无以伦比,2
要命,2
要死,2
已极,2
已甚,2
异常,2
逾常,2
贼,2
之极,2
之至,2
至极,2
卓绝,2
最为,2
佼佼,2
郅,2
綦,2
齁,2
最,2
不过,1.7
不少,1.7
不胜,1.7
惨,1.7
沉,1.7
沉沉,1.7
出奇,1.7
大为,1.7
多,1.7
多多,1.7
多加,1.7
多么,1.7
分外,1.7
格外,1.7
够瞧的,1.7
够戗,1.7
好,1.7
好不,1.7
何等,1.7
很,1.7
很是,1.7
坏,1.7
可,1.7
老,1.7
老大,1.7
良,1.7
颇,1.7
颇为,1.7
甚,1.7
实在,1.7
太,1.7
太甚,1.7
特,1.7
特别,1.7
尤,1.7
尤其,1.7
尤为,1.7
尤以,1.7
远,1.7
着实,1.7
曷,1.7
碜,1.7
大不了,1.5
多,1.5
更,1.5
更加,1.5
更进一步,1.5
更为,1.5
还,1.5
还要,1.5
较,1.5
较比,1.5
较为,1.5
进一步,1.5
那般,1.5
那么,1.5
那样,1.5
强,1.5
如斯,1.5
益,1.5
益发,1.5
尤甚,1.5
逾,1.5
愈,1.5
愈 ... 愈,1.5
愈发,1.5
愈加,1.5
愈来愈,1.5
愈益,1.5
远远,1.5
越 ... 越,1.5
越发,1.5
越加,1.5
越来越,1.5
越是,1.5
这般,1.5
这样,1.5
足,1.5
足足,1.5
不为过,1.3
超,1.3
超额,1.3
超外差,1.3
超微结构,1.3
超物质,1.3
出头,1.3
多,1.3
浮,1.3
过,1.3
过度,1.3
过分,1.3
过火,1.3
过劲,1.3
过了头,1.3
过猛,1.3
过热,1.3
过甚,1.3
过头,1.3
过于,1.3
过逾,1.3
何止,1.3
何啻,1.3
开外,1.3
苦,1.3
老,1.3
偏,1.3
强,1.3
溢,1.3
忒,1.3
点点滴滴,0.7
多多少少,0.7
怪,0.7
好生,0.7
还,0.7
或多或少,0.7
略,0.7
略加,0.7
略略,0.7
略微,0.7
略为,0.7
蛮,0.7
稍,0.7
稍稍,0.7
稍微,0.7
稍为,0.7
稍许,0.7
挺,0.7
未免,0.7
相当,0.7
些,0.7
些微,0.7
些小,0.7
一点,0.7
一点儿,0.7
一些,0.7
有点,0.7
有点儿,0.7
有些,0.7
半点,0.5
不大,0.5
不丁点儿,0.5
不甚,0.5
不怎么,0.5
聊,0.5
没怎么,0.5
轻度,0.5
弱,0.5
丝毫,0.5
微,0.5
相对,0.5
